symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ONGC,INE213A01029,27/01/23,NSE,EQ,EQ,buy,FALSE,200,146.85,53040047,1.2E+15,2023-01-27T12:39:13
RECLTD,INE020B01018,27/01/23,NSE,EQ,EQ,buy,FALSE,100,113,79114388,1.3E+15,2023-01-27T12:53:14
RECLTD,INE020B01018,27/01/23,NSE,EQ,EQ,buy,FALSE,100,114.55,80163773,1.3E+15,2023-01-27T14:05:54
BHEL,INE257A01026,27/01/23,NSE,EQ,EQ,buy,FALSE,40,73.15,6112658,1E+15,2023-01-27T14:06:24
IDFCFIRSTB,INE092T01019,31/01/23,NSE,EQ,EQ,buy,FALSE,208,57.7,27024187,1.1E+15,2023-01-31T11:08:51
IDFCFIRSTB,INE092T01019,31/01/23,NSE,EQ,EQ,buy,FALSE,542,57.7,27024186,1.1E+15,2023-01-31T11:08:51
JSWSTEEL,INE019A01038,31/01/23,NSE,EQ,EQ,buy,FALSE,1,718.25,51826081,1.2E+15,2023-01-31T11:14:18
JSWSTEEL,INE019A01038,31/01/23,NSE,EQ,EQ,buy,FALSE,49,718.25,51826080,1.2E+15,2023-01-31T11:14:18
RBLBANK,INE976G01028,31/01/23,NSE,EQ,EQ,buy,FALSE,32,153.75,77064989,1.3E+15,2023-01-31T11:14:50
RBLBANK,INE976G01028,31/01/23,NSE,EQ,EQ,buy,FALSE,68,153.75,77064988,1.3E+15,2023-01-31T11:14:50
RBLBANK,INE976G01028,31/01/23,NSE,EQ,EQ,buy,FALSE,48,153.8,77072136,1.3E+15,2023-01-31T11:15:25
RBLBANK,INE976G01028,31/01/23,NSE,EQ,EQ,buy,FALSE,2,153.8,77072138,1.3E+15,2023-01-31T11:15:25
RBLBANK,INE976G01028,31/01/23,NSE,EQ,EQ,buy,FALSE,50,153.8,77072137,1.3E+15,2023-01-31T11:15:25
PFC,INE134E01011,31/01/23,NSE,EQ,EQ,buy,FALSE,150,140.3,51996962,1.2E+15,2023-01-31T11:30:33
PFC,INE134E01011,31/01/23,NSE,EQ,EQ,buy,FALSE,50,140.3,51996963,1.2E+15,2023-01-31T11:30:33
