symbol,quantity,profit,buy_order_execution_time,sell_order_execution_time
APOLLOHOSP,6,-444.5999999999967,2024-04-19T09:39:44,2024-04-19T10:59:10
APOLLOHOSP,1,-74.25,2024-04-19T09:39:44,2024-04-19T10:59:10
APOLLOHOSP,4,-295.59999999999854,2024-04-19T09:39:44,2024-04-19T10:59:10
APOLLOHOSP,7,-513.7999999999975,2024-04-19T09:39:44,2024-04-19T10:59:10
ASIANPAINT,2,2.0,2023-03-06T09:58:38,2023-04-21T09:37:37
ASIANPAINT,1,1.0,2023-03-06T09:58:38,2023-04-21T09:37:37
ASIANPAINT,2,2.0,2023-03-06T09:58:38,2023-04-21T09:37:37
ASIANPAINT,5,5.0,2023-03-06T09:58:38,2023-04-21T09:37:37
ASIANPAINT,1,1.0,2023-03-06T09:58:38,2023-04-21T09:37:37
ASIANPAINT,3,3.0,2023-03-06T09:58:38,2023-04-21T09:37:37
ASIANPAINT,1,1.0,2023-03-06T09:58:38,2023-04-21T09:37:37
ASIANPAINT,5,308.25000000000045,2023-02-09T12:34:12,2023-04-21T09:37:37
ASIANPAINT,4,246.60000000000036,2023-02-09T12:34:12,2023-04-21T09:37:37
ASIANPAINT,1,61.65000000000009,2023-02-09T12:34:12,2023-04-21T09:37:37
ASIANPAINT,5,308.25000000000045,2023-02-09T12:34:12,2023-04-21T09:37:37
INFY,20,-478.99999999999636,2023-03-06T10:05:17,2023-10-10T09:43:26
INFY,20,-551.9999999999982,2023-03-06T10:10:34,2023-10-10T09:43:26
INFY,4,-419.0,2023-02-08T09:41:17,2023-10-10T09:43:26
INFY,6,-628.5,2023-02-08T09:41:17,2023-10-10T09:43:26
INFY,10,942.0000000000005,2023-11-12T18:17:50,2023-10-10T09:43:26
INFY,8,1950.0,2023-04-27T11:29:35,2023-10-10T09:43:26
INFY,22,5365.799999999997,2023-04-27T11:29:35,2023-10-10T09:43:26
INFY,10,3332.9999999999995,2023-04-27T11:29:35,2023-12-27T15:09:19
